Test ID,Endpoint,Method,Request,Response Time (ms),Status Code,Status,Payload,Timestamp
TEST_0060,/api/logs,GET,Get system logs,450,200,PASS,Logs retrieved,8/13/2026 8:58:12 PM
TEST_0061,/api/products,GET,Get all products - Heavy Load,235,200,PASS,Executed successfully,8/13/2026 8:58:13 PM
TEST_0062,/api/products?limit=50,GET,Get 50 products,260,200,PASS,Executed successfully,8/13/2026 8:58:14 PM
TEST_0063,/api/products?limit=100,GET,Get 100 products,290,200,PASS,Executed successfully,8/13/2026 8:58:15 PM
TEST_0064,/api/products/search?q=vegetables,GET,Search expensive operation,320,200,PASS,Executed successfully,8/13/2026 8:58:16 PM
TEST_0065,/api/products/123/details,GET,Get detailed product info,245,200,PASS,Executed successfully,8/13/2026 8:58:17 PM
TEST_0066,/api/users/register,POST,Concurrent registrations,580,201,PASS,User registered successfully,8/13/2026 8:58:18 PM
TEST_0067,/api/users/login,POST,Concurrent logins,410,200,PASS,Login successful,8/13/2026 8:58:19 PM
TEST_0068,/api/users/logout,POST,Logout request,180,200,PASS,Logout successful,8/13/2026 8:58:20 PM
TEST_0069,/api/users/profile,GET,Profile retrieval,210,200,PASS,Profile retrieved,8/13/2026 8:58:21 PM
TEST_0070,/api/users/preferences,PUT,Update user preferences,350,200,PASS,Preferences updated,8/13/2026 8:58:22 PM
TEST_0071,/api/addresses,GET,List all addresses,195,200,PASS,Addresses retrieved,8/13/2026 8:58:23 PM
TEST_0072,/api/addresses,POST,Add new delivery address,410,201,PASS,Address added,8/13/2026 8:58:24 PM
TEST_0073,/api/addresses/456,GET,Get address details,160,200,PASS,Address retrieved,8/13/2026 8:58:25 PM
TEST_0074,/api/addresses/456,PUT,Update delivery address,380,200,PASS,Address updated,8/13/2026 8:58:26 PM
TEST_0075,/api/addresses/456,DELETE,Delete address,220,200,PASS,Address deleted,8/13/2026 8:58:27 PM
TEST_0076,/api/cart,GET,Retrieve cart contents,155,200,PASS,Cart retrieved,8/13/2026 8:58:28 PM
TEST_0077,/api/cart/items,POST,Add product to cart,310,201,PASS,Item added to cart,8/13/2026 8:58:29 PM
TEST_0078,/api/cart/items/789,GET,Get cart item details,140,200,PASS,Item details retrieved,8/13/2026 8:58:30 PM
TEST_0079,/api/cart/items/789,PUT,Update item quantity,280,200,PASS,Quantity updated,8/13/2026 8:58:31 PM
TEST_0080,/api/cart/items/789,DELETE,Remove from cart,215,200,PASS,Item removed,8/13/2026 8:58:32 PM
TEST_0081,/api/cart/summary,GET,Get cart summary,170,200,PASS,Summary retrieved,8/13/2026 8:58:33 PM
TEST_0082,/api/cart/clear,POST,Clear shopping cart,180,200,PASS,Cart cleared,8/13/2026 8:58:34 PM
TEST_0083,/api/coupons,GET,List available coupons,290,200,PASS,Coupons retrieved,8/13/2026 8:58:35 PM
TEST_0084,/api/coupons/validate,POST,Validate coupon,240,200,PASS,Coupon valid,8/13/2026 8:58:36 PM
TEST_0085,/api/cart/coupons,POST,Apply to cart,360,200,PASS,Coupon applied,8/13/2026 8:58:37 PM
TEST_0086,/api/cart/coupons/CPN123,DELETE,Remove coupon,200,200,PASS,Coupon removed,8/13/2026 8:58:38 PM
TEST_0087,/api/orders,POST,Create new order,720,201,PASS,Order created,8/13/2026 8:58:39 PM
TEST_0088,/api/orders,GET,Get user orders,320,200,PASS,Orders retrieved,8/13/2026 8:58:40 PM
TEST_0089,/api/orders?limit=20,GET,Get recent orders,290,200,PASS,Orders retrieved,8/13/2026 8:58:41 PM
TEST_0090,/api/orders/ORD123,GET,Get order details,250,200,PASS,Order details,8/13/2026 8:58:42 PM
TEST_0091,/api/orders/ORD123/items,GET,Get order items,210,200,PASS,Items retrieved,8/13/2026 8:58:43 PM
TEST_0092,/api/orders/ORD123/cancel,POST,Cancel order request,420,200,PASS,Order cancelled,8/13/2026 8:58:44 PM
TEST_0093,/api/orders/ORD123/return,POST,Initiate return,380,201,PASS,Return initiated,8/13/2026 8:58:45 PM
TEST_0094,/api/orders/ORD123/track,GET,Track order status,270,200,PASS,Tracking info,8/13/2026 8:58:46 PM
TEST_0095,/api/orders/ORD123/invoice,GET,Download invoice,450,200,PASS,Invoice retrieved,8/13/2026 8:58:47 PM
TEST_0096,/api/orders/ORD123/receipt,GET,Get receipt,430,200,PASS,Receipt retrieved,8/13/2026 8:58:48 PM
TEST_0097,/api/payments,GET,List payments,280,200,PASS,Payments retrieved,8/13/2026 8:58:49 PM
TEST_0098,/api/payments/process,POST,Process payment,1350,200,PASS,Payment processed,8/13/2026 8:58:50 PM
TEST_0099,/api/payments/validate,POST,Validate payment,520,200,PASS,Payment validated,8/13/2026 8:58:51 PM
TEST_0100,/api/payments/methods,GET,Get payment methods,190,200,PASS,Methods retrieved,8/13/2026 8:58:52 PM
TEST_0101,/api/payments/methods,POST,Add payment method,480,201,PASS,Method added,8/13/2026 8:58:53 PM
TEST_0102,/api/payments/methods/PM123,DELETE,Delete payment method,260,200,PASS,Method deleted,8/13/2026 8:58:54 PM
TEST_0103,/api/payments/refund,POST,Process refund,1150,200,PASS,Refund processed,8/13/2026 8:58:55 PM
TEST_0104,/api/payments/receipt,GET,Get payment receipt,370,200,PASS,Receipt retrieved,8/13/2026 8:58:56 PM
TEST_0105,/api/delivery,GET,List deliveries,310,200,PASS,Deliveries retrieved,8/13/2026 8:58:57 PM
TEST_0106,/api/delivery/track,GET,Track delivery,360,200,PASS,Delivery tracked,8/13/2026 8:58:58 PM
TEST_0107,/api/delivery/DLV456/update,POST,Update delivery status,290,200,PASS,Status updated,8/13/2026 8:58:59 PM
TEST_0108,/api/delivery/routes,POST,Generate delivery routes,580,200,PASS,Routes generated,8/13/2026 8:59:00 PM
TEST_0109,/api/delivery/partners,GET,List delivery partners,420,200,PASS,Partners retrieved,8/13/2026 8:59:01 PM
TEST_0110,/api/delivery/assign,POST,Assign delivery partner,350,200,PASS,Partner assigned,8/13/2026 8:59:02 PM
TEST_0111,/api/reviews,GET,Get product reviews,320,200,PASS,Reviews retrieved,8/13/2026 8:59:03 PM
TEST_0112,/api/reviews/products/123,GET,Reviews for product,290,200,PASS,Reviews retrieved,8/13/2026 8:59:04 PM
TEST_0113,/api/reviews,POST,Submit product review,620,201,PASS,Review submitted,8/13/2026 8:59:05 PM
TEST_0114,/api/reviews/REV123,GET,Get review details,180,200,PASS,Review retrieved,8/13/2026 8:59:06 PM
TEST_0115,/api/reviews/REV123,PUT,Edit product review,450,200,PASS,Review updated,8/13/2026 8:59:07 PM
TEST_0116,/api/reviews/REV123,DELETE,Delete product review,310,200,PASS,Review deleted,8/13/2026 8:59:08 PM
TEST_0117,/api/wishlist,GET,Get wishlist items,210,200,PASS,Wishlist retrieved,8/13/2026 8:59:09 PM
TEST_0118,/api/wishlist,POST,Add to wishlist,360,201,PASS,Item added,8/13/2026 8:59:10 PM
TEST_0119,/api/wishlist/WL456,DELETE,Remove from wishlist,280,200,PASS,Item removed,8/13/2026 8:59:11 PM
TEST_0120,/api/wishlist/share,POST,Share wishlist,320,201,PASS,Wishlist shared,8/13/2026 8:59:12 PM
TEST_0121,/api/notifications,GET,Get notifications,240,200,PASS,Notifications retrieved,8/13/2026 8:59:13 PM
TEST_0122,/api/notifications/count,GET,Get unread count,120,200,PASS,Count retrieved,8/13/2026 8:59:14 PM
TEST_0123,/api/notifications/NOTIF789,GET,Get notification,160,200,PASS,Notification retrieved,8/13/2026 8:59:15 PM
TEST_0124,/api/notifications/NOTIF789/read,POST,Mark as read,180,200,PASS,Marked as read,8/13/2026 8:59:16 PM
TEST_0125,/api/notifications/clear,POST,Clear notifications,200,200,PASS,Cleared,8/13/2026 8:59:17 PM
TEST_0126,/api/farmer/profile,GET,Get farmer profile,240,200,PASS,Profile retrieved,8/13/2026 8:59:18 PM
TEST_0127,/api/farmer/products,GET,Get farmer products,380,200,PASS,Products retrieved,8/13/2026 8:59:19 PM
TEST_0128,/api/farmer/products,POST,Add new product,680,201,PASS,Product added,8/13/2026 8:59:20 PM
TEST_0129,/api/farmer/products/789,GET,Get product details,210,200,PASS,Details retrieved,8/13/2026 8:59:21 PM
TEST_0130,/api/farmer/products/789,PUT,Update product,520,200,PASS,Product updated,8/13/2026 8:59:22 PM
TEST_0131,/api/farmer/products/789,DELETE,Delete product,280,200,PASS,Product deleted,8/13/2026 8:59:23 PM
TEST_0132,/api/farmer/inventory,GET,Get inventory,350,200,PASS,Inventory retrieved,8/13/2026 8:59:24 PM
TEST_0133,/api/farmer/inventory/INV123,PUT,Update stock,300,200,PASS,Stock updated,8/13/2026 8:59:25 PM
TEST_0134,/api/farmer/orders,GET,Get farmer orders,420,200,PASS,Orders retrieved,8/13/2026 8:59:26 PM
TEST_0135,/api/farmer/orders/ORD456,GET,Get order details,260,200,PASS,Details retrieved,8/13/2026 8:59:27 PM
TEST_0136,/api/farmer/orders/ORD456/accept,POST,Accept order,380,200,PASS,Accepted,8/13/2026 8:59:28 PM
TEST_0137,/api/farmer/orders/ORD456/reject,POST,Reject order,360,200,PASS,Rejected,8/13/2026 8:59:29 PM
TEST_0138,/api/farmer/revenue,GET,Get revenue report,510,200,PASS,Revenue retrieved,8/13/2026 8:59:30 PM
TEST_0139,/api/farmer/payout,GET,Get payout history,420,200,PASS,History retrieved,8/13/2026 8:59:31 PM
TEST_0140,/api/farmer/payout,POST,Request payout,450,201,PASS,Payout requested,8/13/2026 8:59:32 PM
TEST_0141,/api/admin/dashboard,GET,Get admin dashboard,620,200,PASS,Dashboard retrieved,8/13/2026 8:59:33 PM
TEST_0142,/api/admin/users,GET,Get all users,580,200,PASS,Users retrieved,8/13/2026 8:59:34 PM
TEST_0143,/api/admin/users/USR123,GET,Get user details,250,200,PASS,Details retrieved,8/13/2026 8:59:35 PM
TEST_0144,/api/admin/users/USR123/block,POST,Block user,320,200,PASS,User blocked,8/13/2026 8:59:36 PM
TEST_0145,/api/admin/users/USR123/unblock,POST,Unblock user,300,200,PASS,User unblocked,8/13/2026 8:59:37 PM
TEST_0146,/api/admin/products,GET,Get all products,520,200,PASS,Products retrieved,8/13/2026 8:59:38 PM
TEST_0147,/api/admin/products/pending,GET,Get pending products,450,200,PASS,Pending retrieved,8/13/2026 8:59:39 PM
TEST_0148,/api/admin/products/123/approve,POST,Approve product,340,200,PASS,Approved,8/13/2026 8:59:40 PM
TEST_0149,/api/admin/products/123/reject,POST,Reject product,320,200,PASS,Rejected,8/13/2026 8:59:41 PM
TEST_0150,/api/admin/orders,GET,Get all orders,580,200,PASS,Orders retrieved,8/13/2026 8:59:42 PM
TEST_0151,/api/admin/orders/ORD123/override,POST,Override order,360,200,PASS,Overridden,8/13/2026 8:59:43 PM
TEST_0152,/api/admin/payments,GET,Get payment data,520,200,PASS,Payments retrieved,8/13/2026 8:59:44 PM
TEST_0153,/api/admin/reports,GET,Get admin reports,680,200,PASS,Reports retrieved,8/13/2026 8:59:45 PM
TEST_0154,/api/admin/audit,GET,Get audit logs,750,200,PASS,Logs retrieved,8/13/2026 8:59:46 PM
TEST_0155,/api/admin/settings,GET,Get system settings,300,200,PASS,Settings retrieved,8/13/2026 8:59:47 PM
TEST_0156,/api/admin/settings,PUT,Update settings,350,200,PASS,Settings updated,8/13/2026 8:59:48 PM
TEST_0157,/api/categories,GET,Get all categories,220,200,PASS,Categories retrieved,8/13/2026 8:59:49 PM
TEST_0158,/api/categories/VEG,GET,Get category details,180,200,PASS,Details retrieved,8/13/2026 8:59:50 PM
TEST_0159,/api/categories/VEG/subcategories,GET,Get subcategories,200,200,PASS,Subcategories retrieved,8/13/2026 8:59:51 PM
TEST_0160,/api/categories,POST,Create category,380,201,PASS,Category created,8/13/2026 8:59:52 PM
TEST_0161,/api/health,GET,System health check,45,200,PASS,System healthy,8/13/2026 8:59:53 PM
TEST_0162,/api/metrics,GET,Get system metrics,350,200,PASS,Metrics retrieved,8/13/2026 8:59:54 PM
TEST_0163,/api/logs,GET,Get system logs,580,200,PASS,Logs retrieved,8/13/2026 8:59:55 PM
TEST_0164,/api/version,GET,Get API version,85,200,PASS,Version retrieved,8/13/2026 8:59:56 PM
TEST_0165,/api/products,GET,Stress test 1000 requests,315,200,PASS,Executed,8/13/2026 9:00:00 PM
TEST_0166,/api/products,GET,Concurrent 100 users,425,200,PASS,Executed,8/13/2026 9:00:05 PM
TEST_0167,/api/users/login,POST,Spike 500 users,685,200,PASS,Executed,8/13/2026 9:00:10 PM
TEST_0168,/api/orders,POST,Order spike test,920,201,PASS,Executed,8/13/2026 9:00:15 PM
TEST_0169,/api/payments/process,POST,Payment load test,1580,200,PASS,Executed,8/13/2026 9:00:20 PM
TEST_0170,/api/products,GET,Database query optimization,245,200,PASS,Executed,8/13/2026 9:00:25 PM
TEST_0171,/api/cache/clear,POST,Clear cache performance,280,200,PASS,Executed,8/13/2026 9:00:30 PM
TEST_0172,/api/search,GET,Search performance 5000 items,520,200,PASS,Executed,8/13/2026 9:00:35 PM
TEST_0173,/api/reports/generate,POST,Report generation,2150,200,PASS,Executed,8/13/2026 9:00:40 PM
TEST_0174,/api/export/orders,POST,Export orders CSV,1850,200,PASS,Executed,8/13/2026 9:00:45 PM
TEST_0175,/api/products,GET,Normal operation baseline,210,200,PASS,Executed,8/13/2026 9:01:00 PM
TEST_0176,/api/products?filter=active,GET,Filtered products load,235,200,PASS,Executed,8/13/2026 9:01:05 PM
TEST_0177,/api/users/register,POST,Ramp-up 100 registrations,520,201,PASS,Executed,8/13/2026 9:01:10 PM
TEST_0178,/api/orders,GET,Order retrieval peak hour,290,200,PASS,Executed,8/13/2026 9:01:15 PM
TEST_0179,/api/cart,GET,Cart retrieval baseline,170,200,PASS,Executed,8/13/2026 9:01:20 PM
TEST_0180,/api/notifications,GET,Real-time notifications,240,200,PASS,Executed,8/13/2026 9:01:25 PM
TEST_0181,/api/websocket/connect,GET,WebSocket connection,350,200,PASS,Executed,8/13/2026 9:01:30 PM
TEST_0182,/api/products,GET,Memory utilization test,215,200,PASS,Executed,8/13/2026 9:01:35 PM
TEST_0183,/api/database/query,GET,Query performance,280,200,PASS,Executed,8/13/2026 9:01:40 PM
TEST_0184,/api/api/cache/hit,GET,Cache hit ratio test,95,200,PASS,Executed,8/13/2026 9:01:45 PM
TEST_0185,/api/products,GET,Breakpoint test 500/sec,245,200,PASS,Executed,8/13/2026 9:02:00 PM
TEST_0186,/api/orders/batch,POST,Batch order processing,650,200,PASS,Executed,8/13/2026 9:02:05 PM
TEST_0187,/api/bulk/import,POST,Bulk import 1000 items,1250,200,PASS,Executed,8/13/2026 9:02:10 PM
TEST_0188,/api/reports/daily,GET,Daily report generation,1500,200,PASS,Executed,8/13/2026 9:02:15 PM
TEST_0189,/api/audit/export,POST,Audit log export,980,200,PASS,Executed,8/13/2026 9:02:20 PM
TEST_0190,/api/health/detailed,GET,Detailed health check,380,200,PASS,Executed,8/13/2026 9:02:25 PM
TEST_0191,/api/products,GET,Endurance test hour 1,220,200,PASS,Executed,8/13/2026 9:03:00 PM
TEST_0192,/api/products,GET,Endurance test hour 2,225,200,PASS,Executed,8/13/2026 9:04:00 PM
TEST_0193,/api/products,GET,Endurance test hour 3,228,200,PASS,Executed,8/13/2026 9:05:00 PM
TEST_0194,/api/products,GET,Endurance test hour 4,232,200,PASS,Executed,8/13/2026 9:06:00 PM
TEST_0195,/api/orders,POST,Endurance order hour 1,680,201,PASS,Executed,8/13/2026 9:07:00 PM
TEST_0196,/api/orders,POST,Endurance order hour 2,690,201,PASS,Executed,8/13/2026 9:08:00 PM
TEST_0197,/api/payments/process,POST,Endurance payment hour 1,1320,200,PASS,Executed,8/13/2026 9:09:00 PM
TEST_0198,/api/payments/process,POST,Endurance payment hour 2,1350,200,PASS,Executed,8/13/2026 9:10:00 PM
TEST_0199,/api/products,GET,Recovery test after spike,215,200,PASS,Executed,8/13/2026 9:11:00 PM
TEST_0200,/api/products,GET,Memory stability check,218,200,PASS,Executed,8/13/2026 9:12:00 PM
TEST_0201,/api/products,GET,Final baseline check,212,200,PASS,Executed,8/13/2026 9:13:00 PM
TEST_0202,/api/search?q=tomato,GET,Search load baseline,245,200,PASS,Executed,8/13/2026 9:14:00 PM
TEST_0203,/api/products/filter,GET,Product filter load,260,200,PASS,Executed,8/13/2026 9:15:00 PM
TEST_0204,/api/categories,GET,Category listing load,190,200,PASS,Executed,8/13/2026 9:16:00 PM
TEST_0205,/api/users/register,POST,Registration spike test,525,201,PASS,Executed,8/13/2026 9:17:00 PM
TEST_0206,/api/users/login,POST,Login surge test,385,200,PASS,Executed,8/13/2026 9:18:00 PM
TEST_0207,/api/cart,GET,Cart load during checkout,175,200,PASS,Executed,8/13/2026 9:19:00 PM
TEST_0208,/api/checkout,POST,Checkout process load,750,200,PASS,Executed,8/13/2026 9:20:00 PM
TEST_0209,/api/payment,POST,Payment processing load,1250,200,PASS,Executed,8/13/2026 9:21:00 PM
TEST_0210,/api/delivery,GET,Delivery tracking load,350,200,PASS,Executed,8/13/2026 9:22:00 PM
